Fecha;Bosque;Codigo planta;Especie planta;Numero flores;Ronda
14/06/2022;1;5;Bellis perennis;6590;7
14/06/2022;1;6;Potentilla esterilis;2;7
14/06/2022;1;11;Hutchinsia alpina;72;7
14/06/2022;1;17;Ranunculus sp.;821;7
14/06/2022;1;20;Polygala vulgaris;24;7
14/06/2022;1;27;Geranium robertianum ;47;7
14/06/2022;1;29;Lysimachia nemorum;5;7
14/06/2022;1;32;Vicia pyrenaica;28;7
14/06/2022;1;33;Veronica chamaedrys;23;7
14/06/2022;1;34;Lotus corniculatus ;287;7
14/06/2022;1;36;Pilosella officinarum;7;7
14/06/2022;1;42;Erinus alpinus;33;7
14/06/2022;1;43;Cerastium sp.;23;7
14/06/2022;1;44;Blanca estrellada;34;7
14/06/2022;1;45;Thymus praecox subsp. Polytrichus;1906;7
14/06/2022;1;51;Medicago lupulina;2660;7
14/06/2022;1;52;Linaria propinqua;60;7
14/06/2022;1;53;Anthyllis vulneraria;6;7
14/06/2022;1;54;Galium mollugo;3050;7
14/06/2022;1;55;Trifolium repens;16;7
14/06/2022;1;56;Trifolium pratense;30;7
14/06/2022;1;59;Prunella vulgaris;65;7
14/06/2022;1;60;Plantago sp.;405;7
14/06/2022;1;64;Eufrasia sp.;248;7
14/06/2022;1;65;Anagallis arvensis;4;7
14/06/2022;1;68;Teucrium pyrenaicum;80;7
14/06/2022;1;70;Rhinanthus angustifolius;10;7
14/06/2022;1;73;Dianthus hyssopifolius ;1;7
15/06/2022;2;4;Taraxacum officinale;2;7
15/06/2022;2;5;Bellis perennis;3147;7
15/06/2022;2;15;Potentilla erecta;153;7
15/06/2022;2;17;Ranunculus sp.;444;7
15/06/2022;2;27;Geranium robertianum ;24;7
15/06/2022;2;29;Lysimachia nemorum;36;7
15/06/2022;2;33;Veronica chamaedrys;1;7
15/06/2022;2;34;Lotus corniculatus;95;7
15/06/2022;2;37;Fragaria vesca;6;7
15/06/2022;2;41;Veronica officinalis;9;7
15/06/2022;2;42;Erinus alpinus;2;7
15/06/2022;2;45;Thymus praecox subsp. Polytrichus;19;7
15/06/2022;2;48;Myosotis lamottiana;260;7
15/06/2022;2;49;Ajuga reptans;18;7
15/06/2022;2;50;Cerastium fontanum;3;7
15/06/2022;2;54;Galium mollugo;225;7
15/06/2022;2;55;Trifolium repens;26;7
15/06/2022;2;56;Trifolium pratense;21;7
15/06/2022;2;59;Prunella vulgaris;20;7
15/06/2022;2;60;Plantago sp.;289;7
15/06/2022;2;62;Hypochaeris radicata;1;7
15/06/2022;2;63;Vicia sp.;2;7
16/06/2022;4;4;Taraxacum officinale;115;7
16/06/2022;4;5;Bellis perennis;70;7
16/06/2022;4;15;Potentilla erecta;674;7
16/06/2022;4;17;Ranunculus sp.;31;7
16/06/2022;4;20;Polygala vulgaris;37;7
16/06/2022;4;22;Lathyrus linifolius;3;7
16/06/2022;4;29;Lysimachia nemorum;2;7
16/06/2022;4;36;Pilosella officinarum;4;7
16/06/2022;4;54;Galium mollugo;1071;7
16/06/2022;4;57;Erica cinerea;997;7
16/06/2022;4;58;Erica tetralix;765;7
16/06/2022;4;59;Prunella vulgaris;9;7
16/06/2022;4;66;Sedum album;832;7
16/06/2022;4;71;Hypericum sp.;2;7
17/06/2022;5;15;Potentilla erecta;432;7
17/06/2022;5;17;Ranunculus sp.;9;7
17/06/2022;5;19;Pedicularis sylvatica;2;7
17/06/2022;5;20;Polygala vulgaris;12;7
17/06/2022;5;46;Daboecia cantabrica;39;7
17/06/2022;5;57;Erica cinerea;970;7
17/06/2022;5;58;Erica tetralix;505;7
17/06/2022;5;72;Ulex gallii;3;7
21/06/2022;3;74;Taraxacum sp.;36;7
21/06/2022;3;17;Ranunculus sp.;9;7
21/06/2022;3;35;Helianthemum nummularium;13;7
21/06/2022;3;34;Lotus corniculatus;42;7
21/06/2022;3;15;Potentilla erecta;91;7
21/06/2022;3;56;Trifolium pratense;73;7
21/06/2022;3;75;Achillea millefolium;185;7
21/06/2022;3;67;Prunella grandiflora;185;7
21/06/2022;3;59;Prunella vulgaris;31;7
21/06/2022;3;54;Galium mollugo;13;7
21/06/2022;3;73;Dianthus hyssopifolius ;2;7
21/06/2022;3;45;Thymus praecox subsp. Polytrichus;255;7
21/06/2022;3;68;Teucrium pyrenaicum;144;7
