"","Fecha","Hora","Bosque","Transecto..1.2.3.","Planta","Polinizador","sexo","capturado.","Codigo_frasco","Observaciones","Ronda","b","Polinizador_curro","Pollinator_genus","Pollinator_family"
"99",2022-04-26,"13:45:00",1,2,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"100",2022-04-26,"13:50:00",1,2,"Helleborus viridis","Bombus terrestris reina","","no",NA,"",2,"2022-04-26 NA","Bombus terrestris reina","Bombus","Apidae"
"101",2022-04-26,"13:51:00",1,2,"Helleborus viridis","","","no",19,"",2,"2022-04-26 19","Bombus soroeensis","Bombus","Apidae"
"103",2022-04-26,"15:16:00",1,3,"Helleborus viridis","Bombus terrestris reina","","no",NA,"",2,"2022-04-26 NA","Bombus terrestris reina","Bombus","Apidae"
"104",2022-04-26,"15:18:00",1,3,"Viola riviniana","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"105",2022-04-26,"15:23:00",1,3,"Helleborus viridis","","","no",20,"",2,"2022-04-26 20","Andrena propinqua","Andrena","Andrenidae"
"107",2022-04-26,"15:26:00",1,3,"Helleborus viridis","?=20","","no",NA,"",2,"2022-04-26 NA","Andrena propinqua","Andrena","Andrenidae"
"108",2022-04-26,"15:27:00",1,3,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"109",2022-04-26,"15:29:00",1,3,"Bellis perennis","?=6","","no",NA,"",2,"2022-04-26 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"110",2022-04-26,"15:30:00",1,3,"Helleborus viridis","?=18","","no",NA,"",2,"2022-04-26 NA","Bombus soroeensis","Bombus","Apidae"
"111",2022-04-26,"15:36:00",1,3,"Bellis perennis","?=6","","no",NA,"",2,"2022-04-26 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"112",2022-04-26,"15:37:00",1,3,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"113",2022-04-26,"15:42:00",1,3,"Bellis perennis","?=6","","no",NA,"",2,"2022-04-26 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"115",2022-04-26,"15:44:00",1,3,"Bellis perennis","?=6","","no",NA,"",2,"2022-04-26 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"116",2022-04-26,"15:45:00",1,3,"Helleborus viridis","Apis mellifera","","no",NA,"",2,"2022-04-26 NA","Apis mellifera","Apis","Apidae"
"117",2022-04-26,"15:48:00",1,3,"Helleborus viridis","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"121",2022-04-26,"15:57:00",1,3,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-26 NA","Andrena limata","Andrena","Andrenidae"
"122",2022-04-26,"15:59:00",1,3,"Helleborus viridis","?=18","","no",NA,"",2,"2022-04-26 NA","Bombus soroeensis","Bombus","Apidae"
"123",2022-04-26,"16:01:00",1,3,"Helleborus viridis","Bombus terrestris reina","","no",NA,"",2,"2022-04-26 NA","Bombus terrestris reina","Bombus","Apidae"
"124",2022-04-26,"16:03:00",1,3,"Helleborus viridis","Bombus terrestris reina","","no",NA,"",2,"2022-04-26 NA","Bombus terrestris reina","Bombus","Apidae"
"125",2022-04-26,"16:08:00",1,3,"Viola riviniana","Bombus pascuorum","","no",NA,"",2,"2022-04-26 NA","Bombus pascuorum","Bombus","Apidae"
"126",2022-04-26,"16:10:00",1,3,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-26 NA","Andrena limata","Andrena","Andrenidae"
"128",2022-04-29,"10:41:00",2,1,"Taraxacum officinale","?=60","","no",NA,"Sol, no hay viento, calosr aprox. 15º",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"129",2022-04-29,"10:50:00",2,1,"Bellis perennis","?=12","","no",NA,"",2,"2022-04-29 NA","Andrena limata","Andrena","Andrenidae"
"130",2022-04-29,"11:00:00",2,1,"Taraxacum officinale","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"131",2022-04-29,"11:05:00",2,1,"Taraxacum officinale","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"133",2022-04-29,"13:14:00",2,2,"Bellis perennis","","","si",21,"",2,"2022-04-29 21","","",NA
"134",2022-04-29,"13:15:00",2,2,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"135",2022-04-29,"13:16:00",2,2,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"136",2022-04-29,"13:18:00",2,2,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-29 NA","Andrena limata","Andrena","Andrenidae"
"137",2022-04-29,"13:21:00",2,2,"Taraxacum officinale","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"138",2022-04-29,"13:21:00",2,2,"Taraxacum officinale","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"139",2022-04-29,"13:22:00",2,2,"Taraxacum officinale","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"140",2022-04-29,"13:26:00",2,2,"Bellis perennis","?=21","","no",NA,"",2,"2022-04-29 NA","?=21","?=21",NA
"141",2022-04-29,"13:29:00",2,2,"Bellis perennis","?=30","","si",22,"",2,"2022-04-29 22","Andrena minutula","Andrena","Andrenidae"
"142",2022-04-29,"13:33:00",2,2,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"143",2022-04-29,"13:38:00",2,2,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-29 NA","Andrena limata","Andrena","Andrenidae"
"144",2022-04-29,"13:39:00",2,2,"Taraxacum officinale","","","si",23,"",2,"2022-04-29 23","Andrena nigroaenea","Andrena","Andrenidae"
"145",2022-04-29,"13:40:00",2,2,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"146",2022-04-29,"13:46:00",2,2,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"147",2022-04-29,"13:46:00",2,2,"Bellis perennis","?=31","","no",NA,"",2,"2022-04-29 NA","?=31","?=31",NA
"148",2022-04-29,"13:48:00",2,2,"Potentilla sterilis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"149",2022-04-29,"13:49:00",2,2,"Potentilla sterilis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"150",2022-04-29,"13:51:00",2,2,"Taraxacum officinale","","","si",24,"",2,"2022-04-29 24","Andrena nigroaenea","Andrena","Andrenidae"
"151",2022-04-29,"13:53:00",2,2,"Bellis perennis","?=21","","no",NA,"",2,"2022-04-29 NA","?=21","?=21",NA
"152",2022-04-29,"13:59:00",2,2,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"153",2022-04-29,"14:01:00",2,2,"Taraxacum officinale","?=24","","no",NA,"",2,"2022-04-29 NA","Andrena nigroaenea","Andrena","Andrenidae"
"154",2022-04-29,"14:03:00",2,2,"Helleborus viridis","Bombus terrestris","","no",NA,"",2,"2022-04-29 NA","Bombus terrestris","Bombus","Apidae"
"155",2022-04-29,"14:06:00",2,2,"Taraxacum officinale","","","si",26,"",2,"2022-04-29 26","Cheilosia velutina","Cheilosia","Syrphidae"
"156",2022-04-29,"14:08:00",2,2,"Taraxacum officinale","","","si",27,"",2,"2022-04-29 27","Bombus sylvestris","Bombus","Apidae"
"157",2022-04-29,"14:10:00",2,2,"Bellis perennis","","","si",28,"",2,"2022-04-29 28","Scaeva pyrastri","Scaeva","Syrphidae"
"158",2022-04-29,"15:37:00",2,3,"Taraxacum officinale","","","si",29,"",2,"2022-04-29 29","Cheilosia velutina","Cheilosia","Syrphidae"
"159",2022-04-29,"15:42:00",2,3,"Bellis perennis","?=21","","no",NA,"",2,"2022-04-29 NA","?=21","?=21",NA
"160",2022-04-29,"15:44:00",2,3,"Ranunculus ficaria","?=29","","no",NA,"",2,"2022-04-29 NA","Cheilosia velutina","Cheilosia","Syrphidae"
"161",2022-04-29,"15:46:00",2,3,"Hepatica nobilis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"162",2022-04-29,"15:47:00",2,3,"Taraxacum officinale","Apis mellifera","","no",NA,"",2,"2022-04-29 NA","Apis mellifera","Apis","Apidae"
"163",2022-04-29,"15:49:00",2,3,"Potentilla sterilis","?=24","","no",NA,"",2,"2022-04-29 NA","Andrena nigroaenea","Andrena","Andrenidae"
"164",2022-04-29,"15:50:00",2,3,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"165",2022-04-29,"15:51:00",2,3,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"166",2022-04-29,"15:51:00",2,3,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"167",2022-04-29,"15:53:00",2,3,"Potentilla sterilis","","","si",30,"",2,"2022-04-29 30","Eupeodes corollae","Eupeodes","Syrphidae"
"168",2022-04-29,"15:55:00",2,3,"Taraxacum officinale","?=24","","no",NA,"",2,"2022-04-29 NA","Andrena nigroaenea","Andrena","Andrenidae"
"169",2022-04-29,"15:56:00",2,3,"Potentilla sterilis","?=31","","no",NA,"",2,"2022-04-29 NA","?=31","?=31",NA
"170",2022-04-29,"15:57:00",2,3,"Taraxacum officinale","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"171",2022-04-29,"16:00:00",2,3,"Bellis perennis","?=21","","no",NA,"",2,"2022-04-29 NA","?=21","?=21",NA
"173",2022-04-29,"16:02:00",2,3,"Taraxacum officinale","?=24","","no",NA,"",2,"2022-04-29 NA","Andrena nigroaenea","Andrena","Andrenidae"
"174",2022-04-29,"16:05:00",2,3,"Potentilla sterilis","","","si",31,"",2,"2022-04-29 31","","",NA
"175",2022-04-29,"16:07:00",2,3,"Potentilla sterilis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"176",2022-04-29,"16:08:00",2,3,"Bellis perennis","?=21","","no",NA,"",2,"2022-04-29 NA","?=21","?=21",NA
"177",2022-04-29,"16:08:00",2,3,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"178",2022-04-29,"16:08:00",2,3,"Taraxacum officinale","?=24","","no",NA,"",2,"2022-04-29 NA","Andrena nigroaenea","Andrena","Andrenidae"
"179",2022-04-29,"16:09:00",2,3,"Potentilla sterilis","?=31","","no",NA,"",2,"2022-04-29 NA","?=31","?=31",NA
"180",2022-04-29,"16:15:00",2,3,"Potentilla sterilis","?=31","","no",NA,"",2,"2022-04-29 NA","?=31","?=31",NA
"181",2022-04-29,"16:19:00",2,3,"Taraxacum officinale","?=31","","no",NA,"",2,"2022-04-29 NA","?=31","?=31",NA
"182",2022-04-29,"16:22:00",2,3,"Bellis perennis","?=24","","no",NA,"",2,"2022-04-29 NA","Andrena nigroaenea","Andrena","Andrenidae"
"183",2022-04-29,"16:24:00",2,3,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-29 NA","Andrena limata","Andrena","Andrenidae"
"184",2022-04-29,"16:25:00",2,3,"Taraxacum officinale","?=10","","no",NA,"",2,"2022-04-29 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"185",2022-04-29,"16:27:00",2,3,"Bellis perennis","?=30","","no",NA,"",2,"2022-04-29 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"186",2022-04-29,"16:28:00",2,3,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-29 NA","Andrena limata","Andrena","Andrenidae"
"187",2022-04-29,"17:33:00",2,3,"Helleborus viridis","Bombus terrestris reina","","no",NA,"",2,"2022-04-29 NA","Bombus terrestris reina","Bombus","Apidae"
"188",2022-04-30,"11:26:00",4,1,"Bellis perennis","?=21","","no",NA,"Retraso transecto 1 por niebla",2,"2022-04-30 NA","?=21","?=21",NA
"189",2022-04-30,"11:28:00",4,1,"Bellis perennis","?=6","","no",NA,"Sol, no hay viento",2,"2022-04-30 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"190",2022-04-30,"11:30:00",4,1,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-30 NA","Andrena limata","Andrena","Andrenidae"
"191",2022-04-30,"11:38:00",4,1,"Taraxacum officinale","?=6","","no",NA,"",2,"2022-04-30 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"192",2022-04-30,"11:41:00",4,1,"Taraxacum officinale","?=6","","no",NA,"",2,"2022-04-30 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"193",2022-04-30,"11:42:00",4,1,"Taraxacum officinale","?=6","","no",NA,"",2,"2022-04-30 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"194",2022-04-30,"11:43:00",4,1,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-30 NA","Andrena limata","Andrena","Andrenidae"
"195",2022-04-30,"13:04:00",4,2,"Scilla verna","","","si",32,"",2,"2022-04-30 32","","",NA
"196",2022-04-30,"13:08:00",4,2,"Vaccinium myrtillus","","","si",33,"",2,"2022-04-30 33","Andrena nigroaenea","Andrena","Andrenidae"
"197",2022-04-30,"13:12:00",4,2,"Scilla verna","","","si",34,"",2,"2022-04-30 34","Lasioglossum leucopus","Lasioglossum","Halictidae"
"200",2022-04-30,"13:18:00",4,2,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-30 NA","Andrena limata","Andrena","Andrenidae"
"201",2022-04-30,"13:20:00",4,2,"Taraxacum officinale","?=13","","no",NA,"",2,"2022-04-30 NA","Halictus smaragdulus","Halictus","Halictidae"
"203",2022-04-30,"13:23:00",4,2,"Taraxacum officinale","?=13","","no",NA,"",2,"2022-04-30 NA","Halictus smaragdulus","Halictus","Halictidae"
"204",2022-04-30,"13:24:00",4,2,"Taraxacum officinale","Apis mellifera","","no",NA,"",2,"2022-04-30 NA","Apis mellifera","Apis","Apidae"
"209",2022-04-30,"13:37:00",4,2,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-30 NA","Andrena limata","Andrena","Andrenidae"
"210",2022-04-30,"13:41:00",4,2,"Scilla verna","","","si",35,"",2,"2022-04-30 35","","",NA
"211",2022-04-30,"13:44:00",4,2,"Taraxacum officinale","?=10","","no",NA,"",2,"2022-04-30 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"212",2022-04-30,"13:47:00",4,2,"Taraxacum officinale","?=6","","no",NA,"",2,"2022-04-30 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"213",2022-04-30,"13:52:00",4,2,"Taraxacum officinale","Apis mellifera","","no",NA,"",2,"2022-04-30 NA","Apis mellifera","Apis","Apidae"
"214",2022-04-30,"15:43:00",4,3,"Taraxacum officinale","?=12","","no",NA,"",2,"2022-04-30 NA","Andrena limata","Andrena","Andrenidae"
"215",2022-04-30,"15:45:00",4,3,"Taraxacum officinale","","","si",36,"",2,"2022-04-30 36","Lasioglossum lativentre","Lasioglossum","Halictidae"
"216",2022-04-30,"15:47:00",4,3,"Taraxacum officinale","Apis mellifera","","no",NA,"",2,"2022-04-30 NA","Apis mellifera","Apis","Apidae"
"217",2022-04-30,"15:51:00",4,3,"Taraxacum officinale","?=6","","no",NA,"",2,"2022-04-30 NA","Eupeodes corollae","Eupeodes","Syrphidae"
