"","Fecha","Hora","Bosque","Transecto..1.2.3.","Planta","Polinizador","sexo","capturado.","Codigo_frasco","Observaciones","Ronda","b","Polinizador_curro","Pollinator_genus","Pollinator_family"
"1069",2022-06-10,"16:18:00",2,3,"Ranunculus sp.","?=97","","",NA,"",6,"2022-06-10 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1070",2022-06-10,"16:22:00",2,3,"Myosotis lamottiana","Sphaerophoria scripta","","",NA,"",6,"2022-06-10 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1071",2022-06-10,"16:23:00",2,3,"Bellis perennis","?=97","","",NA,"",6,"2022-06-10 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1072",2022-06-10,"16:25:00",2,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",6,"2022-06-10 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1073",2022-06-10,"16:30:00",2,3,"Lotus corniculatus","?=111","","",NA,"",6,"2022-06-10 NA","?=111","?=111",NA
"1074",2022-06-10,"16:31:00",2,3,"Myosotis lamottiana","?=97","","",NA,"",6,"2022-06-10 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1075",2022-06-10,"16:32:00",2,3,"Bellis perennis","?=52","","",NA,"",6,"2022-06-10 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1076",2022-06-14,"10:35:00",1,1,"Medicago lupulina","Sphaerophoria scripta","macho","",NA,"Sol, calorazo, ola de calor",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1077",2022-06-14,"10:39:00",1,1,"Bellis perennis","","","si",114,"",7,"2022-06-14 114","Eristalis arbustorum","Eristalis","Syrphidae"
"1078",2022-06-14,"10:42:00",1,1,"Prunella vulgaris","Bombus lapidarius","","",NA,"",7,"2022-06-14 NA","Bombus lapidarius","Bombus","Apidae"
"1079",2022-06-14,"10:46:00",1,1,"Ranunculus sp.","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1080",2022-06-14,"10:46:00",1,1,"Bellis perennis","Sphaerophoria scripta","","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1081",2022-06-14,"10:47:00",1,1,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1082",2022-06-14,"10:49:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1083",2022-06-14,"10:51:00",1,1,"Thymus praecox subsp. Polytrichus","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1084",2022-06-14,"10:54:00",1,1,"Galium mollugo","Sphaerophoria scripta","","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1085",2022-06-14,"10:54:00",1,1,"Ranunculus sp.","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1086",2022-06-14,"10:56:00",1,1,"Thymus praecox subsp. Polytrichus","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1087",2022-06-14,"10:56:00",1,1,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1088",2022-06-14,"10:57:00",1,1,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1089",2022-06-14,"11:00:00",1,1,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1090",2022-06-14,"11:01:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1091",2022-06-14,"11:04:00",1,1,"Medicago lupulina","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1092",2022-06-14,"11:04:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1093",2022-06-14,"11:05:00",1,1,"Thymus praecox subsp. Polytrichus","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1094",2022-06-14,"11:05:00",1,1,"Bellis perennis","?=10","","",NA,"",7,"2022-06-14 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1095",2022-06-14,"11:05:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1096",2022-06-14,"11:06:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1097",2022-06-14,"11:06:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1098",2022-06-14,"11:06:00",1,1,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1099",2022-06-14,"11:07:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1100",2022-06-14,"11:07:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1101",2022-06-14,"11:07:00",1,1,"Medicago lupulina","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1102",2022-06-14,"11:08:00",1,1,"Thymus praecox subsp. Polytrichus","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1103",2022-06-14,"11:08:00",1,1,"Thymus praecox subsp. Polytrichus","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1104",2022-06-14,"11:09:00",1,1,"Thymus praecox subsp. Polytrichus","Pararge aegeria","","",NA,"",7,"2022-06-14 NA","Pararge aegeria","Pararge","Nymphalidae-Satyrinae"
"1105",2022-06-14,"11:10:00",1,1,"Thymus praecox subsp. Polytrichus","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1106",2022-06-14,"11:10:00",1,1,"Thymus praecox subsp. Polytrichus","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1107",2022-06-14,"11:10:00",1,1,"Thymus praecox subsp. Polytrichus","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1108",2022-06-14,"11:10:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1109",2022-06-14,"11:14:00",1,1,"Trifolium pratense","","","si",115,"",7,"2022-06-14 115","Andrena ovatula","Andrena","Andrenidae"
"1110",2022-06-14,"11:14:00",1,1,"Ranunculus sp.","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1111",2022-06-14,"11:15:00",1,1,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1112",2022-06-14,"11:15:00",1,1,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1113",2022-06-14,"11:15:00",1,1,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1114",2022-06-14,"11:17:00",1,1,"Ranunculus sp.","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1115",2022-06-14,"11:17:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1116",2022-06-14,"11:17:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1117",2022-06-14,"11:18:00",1,1,"Plantago sp.","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1118",2022-06-14,"11:18:00",1,1,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1119",2022-06-14,"11:19:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1120",2022-06-14,"11:20:00",1,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1121",2022-06-14,"11:22:00",1,1,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1122",2022-06-14,"11:22:00",1,1,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1123",2022-06-14,"11:24:00",1,1,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1124",2022-06-14,"11:24:00",1,1,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1125",2022-06-14,"11:24:00",1,1,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1126",2022-06-14,"11:24:00",1,1,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1127",2022-06-14,"11:24:00",1,1,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1128",2022-06-14,"11:25:00",1,1,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1129",2022-06-14,"11:25:00",1,1,"Bellis perennis","?=10","","",NA,"",7,"2022-06-14 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1130",2022-06-14,"11:26:00",1,1,"Bellis perennis","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1131",2022-06-14,"11:26:00",1,1,"Bellis perennis","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1132",2022-06-14,"11:30:00",1,1,"Galium mollugo","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1133",2022-06-14,"11:31:00",1,1,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1134",2022-06-14,"11:32:00",1,1,"Lotus corniculatus","?=115","","",NA,"",7,"2022-06-14 NA","Andrena ovatula","Andrena","Andrenidae"
"1135",2022-06-14,"11:33:00",1,1,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1136",2022-06-14,"13:15:00",1,2,"Prunella vulgaris","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1137",2022-06-14,"13:17:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1138",2022-06-14,"13:21:00",1,2,"Bellis perennis","?=6","","",NA,"",7,"2022-06-14 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"1139",2022-06-14,"13:23:00",1,2,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1140",2022-06-14,"13:26:00",1,2,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1141",2022-06-14,"13:27:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1142",2022-06-14,"13:28:00",1,2,"Lotus corniculatus","?=13","","",NA,"",7,"2022-06-14 NA","Halictus smaragdulus","Halictus","Halictidae"
"1143",2022-06-14,"13:33:00",1,2,"Dianthus hyssopifolius subsp. Hyssopifolius","Pararge aegeria","","",NA,"",7,"2022-06-14 NA","Pararge aegeria","Pararge","Nymphalidae-Satyrinae"
"1144",2022-06-14,"13:34:00",1,2,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1145",2022-06-14,"13:34:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1146",2022-06-14,"13:35:00",1,2,"Medicago lupulina","?=34","","",NA,"",7,"2022-06-14 NA","Lasioglossum leucopus","Lasioglossum","Halictidae"
"1147",2022-06-14,"13:40:00",1,2,"Galium mollugo","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1148",2022-06-14,"13:41:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1149",2022-06-14,"13:42:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1150",2022-06-14,"13:42:00",1,2,"Bellis perennis","?=64","","",NA,"",7,"2022-06-14 NA","Merodon sp.","Merodon","Syrphidae"
"1151",2022-06-14,"13:43:00",1,2,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1152",2022-06-14,"13:44:00",1,2,"Polygala vulgaris","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1153",2022-06-14,"13:44:00",1,2,"Thymus praecox subsp. Polytrichus","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1154",2022-06-14,"13:45:00",1,2,"Bellis perennis","?=6","","",NA,"",7,"2022-06-14 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"1155",2022-06-14,"13:47:00",1,2,"Bellis perennis","?=10","","",NA,"",7,"2022-06-14 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1156",2022-06-14,"13:48:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1157",2022-06-14,"13:49:00",1,2,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1158",2022-06-14,"13:49:00",1,2,"Cerastium fontanum","?=10","","",NA,"",7,"2022-06-14 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1159",2022-06-14,"13:50:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1160",2022-06-14,"13:52:00",1,2,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1161",2022-06-14,"13:54:00",1,2,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1162",2022-06-14,"13:55:00",1,2,"Ranunculus sp.","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1163",2022-06-14,"13:56:00",1,2,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1164",2022-06-14,"13:58:00",1,2,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1165",2022-06-14,"13:58:00",1,2,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1166",2022-06-14,"14:00:00",1,2,"Bellis perennis","?=6","","",NA,"",7,"2022-06-14 NA","Eupeodes corollae","Eupeodes","Syrphidae"
"1167",2022-06-14,"14:00:00",1,2,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1168",2022-06-14,"14:01:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1169",2022-06-14,"14:02:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1170",2022-06-14,"14:03:00",1,2,"Bellis perennis","","","si",116,"",7,"2022-06-14 116","Syrphus sp.","Syrphus","Syrphidae"
"1171",2022-06-14,"14:04:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1172",2022-06-14,"14:04:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1173",2022-06-14,"14:04:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1174",2022-06-14,"14:05:00",1,2,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1175",2022-06-14,"14:06:00",1,2,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1176",2022-06-14,"14:07:00",1,2,"Galium mollugo","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1177",2022-06-14,"14:07:00",1,2,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1178",2022-06-14,"14:08:00",1,2,"Lotus corniculatus","?=115","","",NA,"",7,"2022-06-14 NA","Andrena ovatula","Andrena","Andrenidae"
"1179",2022-06-14,"14:13:00",1,2,"Thymus praecox subsp. Polytrichus","?=64","","",NA,"",7,"2022-06-14 NA","Merodon sp.","Merodon","Syrphidae"
"1180",2022-06-14,"14:14:00",1,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1181",2022-06-14,"15:22:00",1,3,"Linaria propinqua","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1182",2022-06-14,"15:25:00",1,3,"Bellis perennis","?=10","","",NA,"",7,"2022-06-14 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1183",2022-06-14,"15:29:00",1,3,"Lotus corniculatus","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1184",2022-06-14,"15:32:00",1,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1185",2022-06-14,"15:35:00",1,3,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1186",2022-06-14,"15:35:00",1,3,"Thymus praecox subsp. Polytrichus","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1187",2022-06-14,"15:42:00",1,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1188",2022-06-14,"15:45:00",1,3,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1189",2022-06-14,"15:45:00",1,3,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1190",2022-06-14,"15:45:00",1,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1191",2022-06-14,"15:46:00",1,3,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1192",2022-06-14,"15:46:00",1,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1193",2022-06-14,"15:48:00",1,3,"Geranium robertianum","Lassiomata megera","","",NA,"",7,"2022-06-14 NA","Lassiomata megera","Lassiomata","Nymphalidae-Satyrinae"
"1194",2022-06-14,"15:52:00",1,3,"Bellis perennis","?=10","","",NA,"",7,"2022-06-14 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1195",2022-06-14,"15:53:00",1,3,"Bellis perennis","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1196",2022-06-14,"15:55:00",1,3,"Trifolium pratense","?=115","","",NA,"",7,"2022-06-14 NA","Andrena ovatula","Andrena","Andrenidae"
"1197",2022-06-14,"15:56:00",1,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1198",2022-06-14,"16:02:00",1,3,"Vicia pyrenaica","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1199",2022-06-14,"16:02:00",1,3,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-14 NA","Eristalis sp.","Eristalis","Syrphidae"
"1200",2022-06-14,"16:03:00",1,3,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1201",2022-06-14,"16:03:00",1,3,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1202",2022-06-14,"16:03:00",1,3,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1203",2022-06-14,"16:05:00",1,3,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1204",2022-06-14,"16:05:00",1,3,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1205",2022-06-14,"16:05:00",1,3,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1206",2022-06-14,"16:05:00",1,3,"Ranunculus sp.","?=35","","",NA,"",7,"2022-06-14 NA","Apis mellifera","Apis","Apidae"
"1207",2022-06-14,"16:06:00",1,3,"Geranium robertianum","","","si",117,"",7,"2022-06-14 117","Andrena propinqua","Andrena","Andrenidae"
"1208",2022-06-14,"16:07:00",1,3,"Bellis perennis","?=52","","",NA,"",7,"2022-06-14 NA","Calliphora vicina","Calliphora","Calliphoridae"
"1209",2022-06-14,"16:08:00",1,3,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1210",2022-06-14,"16:10:00",1,3,"Bellis perennis","Sphaerophoria scripta","macho","",NA,"",7,"2022-06-14 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1211",2022-06-14,"16:11:00",1,3,"Medicago lupulina","?=116","","",NA,"",7,"2022-06-14 NA"," Syrphus sp.","",NA
"1212",2022-06-14,"16:15:00",1,3,"Bellis perennis","Pararge aegeria","","",NA,"",7,"2022-06-14 NA","Pararge aegeria","Pararge","Nymphalidae-Satyrinae"
"1213",2022-06-14,"16:16:00",1,3,"Linaria propinqua","Bombus pascuorum","","",NA,"",7,"2022-06-14 NA","Bombus pascuorum","Bombus","Apidae"
"1214",2022-06-15,"11:08:00",2,1,"Ranunculus sp.","Sphaerophoria scripta","","",NA,"",7,"2022-06-15 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1215",2022-06-15,"11:14:00",2,1,"Bellis perennis","Sphaerophoria scripta","","",NA,"",7,"2022-06-15 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1216",2022-06-15,"11:15:00",2,1,"Ranunculus sp.","?=10","","",NA,"",7,"2022-06-15 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1217",2022-06-15,"11:18:00",2,1,"Ranunculus sp.","?=10","","",NA,"",7,"2022-06-15 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1218",2022-06-15,"11:20:00",2,1,"Ranunculus sp.","?=10","","",NA,"",7,"2022-06-15 NA","Platycheirus albimanus","Platycheirus","Syrphidae"
"1219",2022-06-15,"11:23:00",2,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-15 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1220",2022-06-15,"11:24:00",2,1,"Bellis perennis","Eristalis sp.","","",NA,"",7,"2022-06-15 NA","Eristalis sp.","Eristalis","Syrphidae"
"1221",2022-06-15,"11:27:00",2,1,"Trifolium repens","?=115","","",NA,"",7,"2022-06-15 NA","Andrena ovatula","Andrena","Andrenidae"
"1222",2022-06-15,"11:35:00",2,1,"Potentilla erecta","?=13","","",NA,"",7,"2022-06-15 NA","Halictus smaragdulus","Halictus","Halictidae"
"1223",2022-06-15,"11:38:00",2,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-15 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1224",2022-06-15,"11:40:00",2,1,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-15 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1225",2022-06-15,"13:20:00",2,2,"Myosotis lamottiana","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-15 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1226",2022-06-15,"13:22:00",2,2,"Bellis perennis","Sphaerophoria scripta","hembra","",NA,"",7,"2022-06-15 NA","Sphaerophoria scripta","Sphaerophoria","Syrphidae"
"1227",2022-06-15,"13:22:00",2,2,"Bellis perennis","?=52","","",NA,"",7,"2022-06-15 NA","Calliphora vicina","Calliphora","Calliphoridae"
