"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta"
"233","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",1,"1,10"
"234","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"2,01"
"235","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",1,"(3,02)1"
"236","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.2,"3,08"
"237","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"4,02"
"238","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"(6,06)1"
"239","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"7,09"
"240","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.4,"(8,03)2"
"241","Doñana",2021,"Villamanrique Chaparral",4,"Cistus salviifolius",0.8,"9,06"
"242","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",1,"(3,01)1"
"243","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",1,"4,05"
"244","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0,"5,04"
"245","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0,"6,01"
"246","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0.666666666666667,"6,04"
"247","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",1,"6,05"
"248","Doñana",2021,"Villamanrique Chaparral",5,"Cistus crispus",0,"6,06"
"249","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(1,01)2"
"250","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(1,08)1"
"251","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(2,06)1"
"252","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",0.8,"3,07"
"253","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",0.8,"4,02"
"254","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"5,04"
"255","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(6,06)2"
"256","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(7,08)2"
"257","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"7,09"
"258","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(8,03)1"
"259","Doñana",2021,"Villamanrique Chaparral",5,"Cistus salviifolius",1,"(8,03)2"
"260","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",0.6,"1,02"
"261","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",0.8,"1,04"
"262","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",0.2,"2,05"
"263","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",1,"4,07"
"264","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",0.8,"5,04"
"265","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",0.6,"5,05"
"266","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",0.8,"6,04"
"267","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",1,"(7,01)2"
"268","Doñana",2021,"Villamanrique Chaparral",6,"Cistus crispus",0.2,"9,05"
"269","Doñana",2021,"Villamanrique Chaparral",6,"Cistus salviifolius",0.8,"(1,08)1"
