"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","X","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"64","Doñana",2021,"Pinar Aznalcazar",5,"Halimiun halimifolium",0.166666666666667,"(10,08)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.5,"(1,01)1",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"66","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"(1,01)2",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"67","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"1,02",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"68","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"1,08",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"69","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"2,01",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"70","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"2,06",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"71","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"4,07",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"72","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.4,"6,02",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"73","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"7,03",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"74","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"9,07",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"75","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.75,"9,08",139,0.727272727272727,0.219607843137255,0.529553113807908,2.30138934819629,"Doñana_2021_Pinar Aznalcazar_6",19,11,5
"76","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0,"9,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.7,"(10,08)1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.466666666666667,"(10,08)2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.5,"10,09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"(1,01)2",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
"81","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.8,"1,02",145,0.75,0.589285714285714,0.704251161654075,0.828079290507005,"Doñana_2021_Pinar Aznalcazar_7",38,12,6
