Fecha,Hora,Bosque,"Transecto (1,2,3)",Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Ronda,Codigo_Final,Latitude,Longitude
29/04/22,14:03:00,2,2,Helleborus viridis,Bombus terrestris,,no,,,2,,,
29/04/22,14:06:00,2,2,Taraxacum officinale,,,si,26,,2,,,
29/04/22,14:08:00,2,2,Taraxacum officinale,,,si,27,,2,,,
29/04/22,14:10:00,2,2,Bellis perennis,,,si,28,,2,,,
29/04/22,15:37:00,2,3,Taraxacum officinale,,,si,29,,2,,,
29/04/22,15:42:00,2,3,Bellis perennis,?=21,,no,,,2,,,
29/04/22,15:44:00,2,3,Ranunculus ficaria,?=29,,no,,,2,,,
29/04/22,15:46:00,2,3,Hepatica nobilis,?=30,,no,,,2,,,
29/04/22,15:47:00,2,3,Taraxacum officinale,Apis mellifera,,no,,,2,,,
29/04/22,15:49:00,2,3,Potentilla sterilis,?=24,,no,,,2,,,
29/04/22,15:50:00,2,3,Bellis perennis,?=30,,no,,,2,,,
29/04/22,15:51:00,2,3,Bellis perennis,?=30,,no,,,2,,,
29/04/22,15:51:00,2,3,Bellis perennis,?=30,,no,,,2,,,
29/04/22,15:53:00,2,3,Potentilla sterilis,,,si,30,,2,,,
29/04/22,15:55:00,2,3,Taraxacum officinale,?=24,,no,,,2,,,
29/04/22,15:56:00,2,3,Potentilla sterilis,?=31,,no,,,2,,,
29/04/22,15:57:00,2,3,Taraxacum officinale,?=30,,no,,,2,,,
29/04/22,16:00:00,2,3,Bellis perennis,?=21,,no,,,2,,,
29/04/22,16:01:00,2,3,Bellis perennis,?=1,,no,,,2,,,
29/04/22,16:02:00,2,3,Taraxacum officinale,?=24,,no,,,2,,,
29/04/22,16:05:00,2,3,Potentilla sterilis,,,si,31,,2,,,
29/04/22,16:07:00,2,3,Potentilla sterilis,?=30,,no,,,2,,,
29/04/22,16:08:00,2,3,Bellis perennis,?=21,,no,,,2,,,
29/04/22,16:08:00,2,3,Bellis perennis,?=30,,no,,,2,,,
29/04/22,16:08:00,2,3,Taraxacum officinale,?=24,,no,,,2,,,
29/04/22,16:09:00,2,3,Potentilla sterilis,?=31,,no,,,2,,,
29/04/22,16:15:00,2,3,Potentilla sterilis,?=31,,no,,,2,,,
29/04/22,16:19:00,2,3,Taraxacum officinale,?=31,,no,,,2,,,
29/04/22,16:22:00,2,3,Bellis perennis,?=24,,no,,,2,,,
29/04/22,16:24:00,2,3,Taraxacum officinale,?=12,,no,,,2,,,
29/04/22,16:25:00,2,3,Taraxacum officinale,?=10,,no,,,2,,,
29/04/22,16:27:00,2,3,Bellis perennis,?=30,,no,,,2,,,
29/04/22,16:28:00,2,3,Taraxacum officinale,?=12,,no,,,2,,,
29/04/22,17:33:00,2,3,Helleborus viridis,Bombus terrestris reina,,no,,,2,,,
30/04/22,11:26:00,4,1,Bellis perennis,?=21,,no,,Retraso transecto 1 por niebla,2,,,
30/04/22,11:28:00,4,1,Bellis perennis,?=6,,no,,"Sol, no hay viento",2,,,
