"Site_id","Year","Bosque","Periodo","Especies","norm_degree","weight_closeness","d"
"Gorbea","2021","3","5","Vicia pyrenaica",0.0909090909090909,0.0491452991452991,0.647389321559071
"Gorbea","2021","3","5","Pilosella officinarum",0.272727272727273,0.118728246842126,0.410043723977943
"Gorbea","2021","3","5","Hippocrepis comosa",0.0909090909090909,0.0475154550434306,0
"Gorbea","2021","3","5","Lotus corniculatus",0.545454545454545,0.501345352462918,1
"Gorbea","2021","3","5","Lathyrus linifolius",0.0909090909090909,0.0491452991452991,0.647389321559071
"Gorbea","2021","3","5","Thymus praecox subsp. polytrichus",0.0909090909090909,0,0.410043723977943
"Gorbea","2021","5","5","Taraxacum sp.",0.5,1.84615384615385,0
"Gorbea","2021","5","5","Bellis perennis",0.125,0.153846153846154,1
"Gorbea","2021","5","5","Myosotis lamottiana",0.25,0,0.647389321559071
"Gorbea","2021","5","5","Ranunculus repens",0.25,0,0.410043723977943
"Gorbea","2021","1","6","Pilosella officinarum",0.454545454545455,0.787256820909887,0
"Gorbea","2021","1","6","Taraxacum sp.",0.0909090909090909,0,1
"Gorbea","2021","1","6","Ranunculus repens",0.0909090909090909,0.0303564168586529,0.647389321559071
"Gorbea","2021","1","6","Bellis perennis",0.0909090909090909,0.0303564168586529,0.410043723977943
"Gorbea","2021","1","6","Vicia pyrenaica",0.0909090909090909,0.0602852785502826,0
"Gorbea","2021","1","6","Medicago lupulina",0.454545454545455,0.083756440566036,1
"Gorbea","2021","1","6","Geranium robertianum",0.272727272727273,0.0838827040188803,0.647389321559071
"Gorbea","2021","1","6","Hutchinsia alpina",0.181818181818182,0,0.410043723977943
"Gorbea","2021","5","7","Erica tetralix",0.25,0.333333333333333,0
"Gorbea","2021","5","7","Daboecia cantabrica",0.25,0,1
"Gorbea","2021","5","7","Potentilla erecta",0.5,0,0.647389321559071
"Gorbea","2021","5","7","Erica cinerea",0.5,1.66666666666667,0.410043723977943
"Gorbea","2022","2","1","Helleborus viridis subsp. occidentalis",0.666666666666667,0.865384615384615,0
"Gorbea","2022","2","1","Potentilla sterilis",0.333333333333333,0.230769230769231,1
"Gorbea","2022","2","1","Ranunculus ficaria",0.666666666666667,0.346153846153846,0.647389321559071
"Gorbea","2022","2","1","Hepatica nobilis",0.333333333333333,0,0.410043723977943
"Gorbea","2022","3","1","Helleborus viridis subsp. occidentalis",0.1,0.0581818181818182,0
"Gorbea","2022","3","1","Scilla verna",0.1,0.0692640692640693,1
"Gorbea","2022","3","1","Lathyrus linifolius",0.1,0,0.647389321559071
"Gorbea","2022","3","1","Bellis perennis",0.2,0.111888111888112,0.410043723977943
"Gorbea","2022","3","1","Potentilla erecta",0.2,0.0808080808080808,0
"Gorbea","2022","3","1","Taraxacum officinale",0.1,0.0632411067193676,1
"Gorbea","2022","3","1","Hippocrepis comosa",0.8,0.140762463343109,0.647389321559071
"Gorbea","2022","3","1","Potentilla montana",0.2,0.0890538033395176,0.410043723977943
"Gorbea","2022","4","2","Bellis perennis",0.222222222222222,0.266666666666667,0
"Gorbea","2022","4","2","Taraxacum officinale",0.222222222222222,0.16,1
"Gorbea","2022","4","2","Scilla verna",0.666666666666667,0.3,0.647389321559071
"Gorbea","2022","4","2","Vaccinium myrtillus",0.111111111111111,0,0.410043723977943
"Gorbea","2022","4","3","Taraxacum officinale",0.444444444444444,0.256,0
"Gorbea","2022","4","3","Bellis perennis",0.333333333333333,0.174545454545455,1
"Gorbea","2022","4","3","Scilla verna",0.111111111111111,0.182857142857143,0.647389321559071
"Gorbea","2022","4","3","Potentilla erecta",0.777777777777778,0.194782608695652,0.410043723977943
"Gorbea","2022","1","4","Taraxacum officinale",0.416666666666667,0.112813095785944,0
"Gorbea","2022","1","4","Bellis perennis",0.0833333333333333,0,1
"Gorbea","2022","1","4","Pinguicula grandiflora",0.25,0.141261696347721,0.647389321559071
"Gorbea","2022","1","4","Hutchinsia alpina",0.0833333333333333,0.0274599542334096,0.410043723977943
"Gorbea","2022","1","4","Scilla verna",0.0833333333333333,0.0274599542334096,0
"Gorbea","2022","1","4","Vicia pyrenaica",0.166666666666667,0.0444528875379939,1
"Gorbea","2022","1","4","Erysimum gorbeanum",0.666666666666667,0.126384012962463,0.647389321559071
"Gorbea","2022","1","4","Helleborus viridis subsp. occidentalis",0.0833333333333333,0.106242905788876,0.410043723977943
"Gorbea","2022","1","5","Taraxacum officinale",0.25,0.197849659567639,0
"Gorbea","2022","1","5","Vicia pyrenaica",0.125,0,1
"Gorbea","2022","1","5","Ranunculus sp.",0.0625,0.0220747790187401,0.647389321559071
"Gorbea","2022","1","5","Bellis perennis",0.0625,0.024108488196886,0.410043723977943
"Gorbea","2022","1","5","Geranium robertianum",0.1875,0.0528968052069237,0
"Gorbea","2022","1","5","Medicago lupulina",0.3125,0.0776916260110671,1
"Gorbea","2022","1","5","Erinus alpinus",0.5,0.124360443350313,0.647389321559071
"Gorbea","2022","1","5","Hutchinsia alpina",0.25,0,0.410043723977943
"Gorbea","2022","4","5","Ranunculus sp.",0.285714285714286,0.19047619047619,0
"Gorbea","2022","4","5","Potentilla erecta",0.428571428571429,0.285714285714286,1
"Gorbea","2022","4","5","Veronica officinalis",0.285714285714286,0.228571428571429,0.647389321559071
"Gorbea","2022","4","5","Polygala vulgaris",0.428571428571429,0.114285714285714,0.410043723977943
"Gorbea","2022","3","6","Trifolium repens",0.3,0.0730752501087429,0
"Gorbea","2022","3","6","Lotus corniculatus",0.1,0.0458140169075539,1
"Gorbea","2022","3","6","Helianthemum nummularium",0.3,0.0514075887392901,0.647389321559071
"Gorbea","2022","3","6"," Thymus praecox subsp. polytrichus",0.4,0.0609800362976406,0.410043723977943
"Gorbea","2022","3","6","Plantago sp.",0.1,0.030281182408075,0
"Gorbea","2022","3","6","Teucrium pyrenaicum L. subsp. pyrenaicum",0.2,0.0458140169075539,1
"Gorbea","2022","3","6","Vicia pyrenaica",0.2,0.0401913875598086,0.647389321559071
"Gorbea","2022","3","6","Bellis perennis",0.1,0.0323886639676113,0.410043723977943
