"","X.1","X","Fecha","Bosque","Especie.planta","Numero.flores","full.x","Periodo","full.y","full","Site","Year"
"247",247,247,"2020-05-29","1","Thymus praecox subsp. Polytrichus",NA,1,6,NA,NA,"Gorbea",2020
"248",248,248,"2020-05-29","1","Pilosella officinarum",7,1,6,NA,NA,"Gorbea",2020
"249",249,249,"2020-05-29","1","Erinus alpinus",69,1,6,NA,NA,"Gorbea",2020
"250",250,250,"2020-05-29","1","Euphrasia sp.",10,1,6,NA,NA,"Gorbea",2020
"251",251,251,"2020-05-29","1","Potentilla montana",3,1,6,NA,NA,"Gorbea",2020
"252",252,252,"2020-05-29","1","Medicago lupulina",2275,1,6,NA,NA,"Gorbea",2020
"253",253,253,"2020-05-29","1","Trifolium pratense",4,1,6,NA,NA,"Gorbea",2020
"254",254,254,"2020-05-29","1","Anagallis arvensis",15,1,6,NA,NA,"Gorbea",2020
"255",255,255,"2020-05-29","1","Lysimachia nemorum",28,1,6,NA,NA,"Gorbea",2020
"256",256,256,"2020-05-29","1","Saxifraga sp.",10,1,6,NA,NA,"Gorbea",2020
"257",257,257,"2020-05-29","1","Rhinanthus angustifolius",3,1,6,NA,NA,"Gorbea",2020
"258",258,258,"2020-05-29","1","Veronica officinalis",10,1,6,NA,NA,"Gorbea",2020
"259",259,259,"2020-05-29","1","Hutchinsia alpina",NA,1,6,NA,NA,"Gorbea",2020
"260",260,260,"2020-05-29","1","Polygala vulgaris",30,1,6,NA,NA,"Gorbea",2020
"261",261,261,"2020-05-29","1","Trifolium repens",2,1,6,NA,NA,"Gorbea",2020
"262",262,262,"2020-06-14","2","Myosotis lamottiana",89,1,5,NA,NA,"Gorbea",2020
"263",263,263,"2020-06-14","2","Ranunculus sp.",966,1,5,NA,NA,"Gorbea",2020
"264",264,264,"2020-06-14","2","Bellis perennis",2533,1,5,NA,NA,"Gorbea",2020
"265",265,265,"2020-06-14","2","Trifolium repens",23,1,5,NA,NA,"Gorbea",2020
"266",266,266,"2020-06-14","2","Potentilla erecta",101,1,5,NA,NA,"Gorbea",2020
"267",267,267,"2020-06-14","2","Taraxacum sp.",16,1,5,NA,NA,"Gorbea",2020
"268",268,268,"2020-06-14","2","Lysimachia nemorum",6,1,5,NA,NA,"Gorbea",2020
"269",269,269,"2020-06-14","2","Lotus corniculatus",50,1,5,NA,NA,"Gorbea",2020
"270",270,270,"2020-06-14","2","Geranium robertianum",6,1,5,NA,NA,"Gorbea",2020
"271",271,271,"2020-06-14","2","Veronica officinalis",13,1,5,NA,NA,"Gorbea",2020
"272",272,272,"2020-06-14","2","Plantago sp.",121,1,5,NA,NA,"Gorbea",2020
"273",273,273,"2020-06-14","2","Prunella grandiflora",6,1,5,NA,NA,"Gorbea",2020
"274",274,274,"2020-06-14","2","Euphrasia sp.",19,1,5,NA,NA,"Gorbea",2020
"275",275,275,"2020-06-14","2","Galium sp.",NA,1,5,NA,NA,"Gorbea",2020
"276",276,276,"2020-06-15","4","Galium sp.",2154,1,4,NA,NA,"Gorbea",2020
"277",277,277,"2020-06-15","4","Potentilla erecta",339,1,4,NA,NA,"Gorbea",2020
