"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","Anidamiento","poll.sp","plant.sp","comp.fun.pol","comp.fun.pl","robustness.pol","robustness.pl","connectance","asymmetry","match","total.visits"
"54","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"4,09",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"55","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"6,03",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"56","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"6,04",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"57","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"6,07",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"58","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"6,10",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"59","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"8,03",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"60","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"8,10",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"61","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.5,"9,03",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"62","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"10,10",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"63","Doñana",2021,"Pinar Aznalcazar",5,"Halimiun halimifolium",0.666666666666667,"(10,08)1",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"64","Doñana",2021,"Pinar Aznalcazar",5,"Halimiun halimifolium",0.166666666666667,"(10,08)2",1.60138563122958,16,7,24.4907327022667,22.901660474118,0.643200114283384,0.419558524660175,0.1875,0.391304347826087,"Doñana_2021_Pinar Aznalcazar_5",29
"65","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.5,"(1,01)1",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"66","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"(1,01)2",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"67","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"1,02",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"68","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"1,08",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"69","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"2,01",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"70","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"2,06",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"71","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"4,07",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"72","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.4,"6,02",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"73","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.6,"7,03",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"74","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",1,"9,07",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"75","Doñana",2021,"Pinar Aznalcazar",6,"Cistus crispus",0.75,"9,08",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"76","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0,"9,06",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"77","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.7,"(10,08)1",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"78","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.466666666666667,"(10,08)2",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"79","Doñana",2021,"Pinar Aznalcazar",6,"Halimiun halimifolium",0.5,"10,09",1.35292211078309,11,5,23.2012479865976,25.4365446050518,0.589821453046846,0.369973145239114,0.272727272727273,0.375,"Doñana_2021_Pinar Aznalcazar_6",30
"80","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"(1,01)2",0.710696659072237,12,6,30.2598080143814,36.910195437295,0.490801456896644,0.393809073596194,0.208333333333333,0.333333333333333,"Doñana_2021_Pinar Aznalcazar_7",45
"81","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",0.8,"1,02",0.710696659072237,12,6,30.2598080143814,36.910195437295,0.490801456896644,0.393809073596194,0.208333333333333,0.333333333333333,"Doñana_2021_Pinar Aznalcazar_7",45
"82","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"1,03",0.710696659072237,12,6,30.2598080143814,36.910195437295,0.490801456896644,0.393809073596194,0.208333333333333,0.333333333333333,"Doñana_2021_Pinar Aznalcazar_7",45
"83","Doñana",2021,"Pinar Aznalcazar",7,"Cistus crispus",1,"2,01",0.710696659072237,12,6,30.2598080143814,36.910195437295,0.490801456896644,0.393809073596194,0.208333333333333,0.333333333333333,"Doñana_2021_Pinar Aznalcazar_7",45
