"","X","Site","Year","Bosque","Periodo","Planta","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"71",71,"Doñana",2020,"Villamanrique Chaparral",5,"Lysimachia arvensis",0.111111111111111,0.0526645768025078,0.520375066863737,0.461580958968409,"Doñana_2020_Villamanrique Chaparral_5",1,9,7
"72",72,"Doñana",2020,"Villamanrique Chaparral",6,"Andryala integrifolia",0.5,0.333333333333333,0.093794932357652,0.906745893598275,"Doñana_2020_Villamanrique Chaparral_6",6,6,6
"73",73,"Doñana",2020,"Villamanrique Chaparral",6,"Anthemis arvensis",0.166666666666667,0.125,0,0.122121793418934,"Doñana_2020_Villamanrique Chaparral_6",1,6,6
"74",74,"Doñana",2020,"Villamanrique Chaparral",6,"Asphodelus fistulosus",0.166666666666667,0.142857142857143,0.643792812891978,-0.0554201112499889,"Doñana_2020_Villamanrique Chaparral_6",1,6,6
"75",75,"Doñana",2020,"Villamanrique Chaparral",6,"Cistus salvifolius",0.166666666666667,0.2,0.0505981401487742,0.0533884156789292,"Doñana_2020_Villamanrique Chaparral_6",2,6,6
"76",76,"Doñana",2020,"Villamanrique Chaparral",6,"Cynara humilis",0.166666666666667,0,1,-0.87853890306123,"Doñana_2020_Villamanrique Chaparral_6",1,6,6
"77",77,"Doñana",2020,"Villamanrique Chaparral",6,"Echium plantagineum",0.333333333333333,0,1,-1.04082075471777,"Doñana_2020_Villamanrique Chaparral_6",2,6,6
"78",78,"Doñana",2020,"Villamanrique Sur",2,"Cistus salvifolius",0.333333333333333,NA,1,-2.029708139245,"Doñana_2020_Villamanrique Sur_2",3,6,2
"79",79,"Doñana",2020,"Villamanrique Sur",2,"Rosmarinus officinalis",0.666666666666667,NA,1,-1.56227238132894,"Doñana_2020_Villamanrique Sur_2",11,6,2
"80",80,"Doñana",2020,"Villamanrique Sur",3,"Anemone palmata",0.1,0.136363636363636,0.0642150259807986,-0.657115411423722,"Doñana_2020_Villamanrique Sur_3",1,10,3
"81",81,"Doñana",2020,"Villamanrique Sur",3,"Cistus salvifolius",0.8,0.9375,0.322417331449166,0.732944458516401,"Doñana_2020_Villamanrique Sur_3",24,10,3
"82",82,"Doñana",2020,"Villamanrique Sur",3,"Halimium halimifolium",0.4,0.314685314685315,0.344962759977224,-0.428261053363231,"Doñana_2020_Villamanrique Sur_3",5,10,3
"83",83,"Doñana",2020,"Villamanrique Sur",4,"Anemone palmata",0.1,0,1,-1.12072086403645,"Doñana_2020_Villamanrique Sur_4",1,10,5
"84",84,"Doñana",2020,"Villamanrique Sur",4,"Cistus salvifolius",0.8,0.3,0.423192429896938,1.86128017241901,"Doñana_2020_Villamanrique Sur_4",14,10,5
"85",85,"Doñana",2020,"Villamanrique Sur",4,"Halimium halimifolium",0.1,0.15,0.207518749639422,-0.0913809729413134,"Doñana_2020_Villamanrique Sur_4",1,10,5
"86",86,"Doñana",2020,"Villamanrique Sur",4,"Leontodon hispidus",0.1,0.25,0.673657673906779,-0.027550014009433,"Doñana_2020_Villamanrique Sur_4",2,10,5
"87",87,"Doñana",2020,"Villamanrique Sur",4,"Silene colorata",0.2,0.166666666666667,0.72105705434887,-0.170745073677326,"Doñana_2020_Villamanrique Sur_4",2,10,5
"88",88,"Doñana",2020,"Villamanrique Sur",5,"Andryala integrifolia",0.125,0,0,-1.52380462391346,"Doñana_2020_Villamanrique Sur_5",1,8,5
"89",89,"Doñana",2020,"Villamanrique Sur",5,"Cistus salvifolius",0.875,0.75,0.5,0.332381670182712,"Doñana_2020_Villamanrique Sur_5",8,8,5
"90",90,"Doñana",2020,"Villamanrique Sur",5,"Halimium halimifolium",0.125,0.375,0,-1.04556653333123,"Doñana_2020_Villamanrique Sur_5",1,8,5
"91",91,"Doñana",2020,"Villamanrique Sur",5,"Leontodon hispidus",0.125,0,0.688721875540867,-1.43408580789446,"Doñana_2020_Villamanrique Sur_5",3,8,5
"92",92,"Doñana",2020,"Villamanrique Sur",5,"Silene colorata",0.125,0.375,0,-1.10702284839487,"Doñana_2020_Villamanrique Sur_5",1,8,5
"93",93,"Doñana",2020,"Villamanrique Sur",6,"Andryala integrifolia",0.75,0.5,0.369070246428543,1.09622579631103,"Doñana_2020_Villamanrique Sur_6",8,8,4
"94",94,"Doñana",2020,"Villamanrique Sur",6,"Cistus salvifolius",0.125,0,1,-0.951103734364739,"Doñana_2020_Villamanrique Sur_6",1,8,4
"95",95,"Doñana",2020,"Villamanrique Sur",6,"Halimium halimifolium",0.25,0.333333333333333,0.613147192765458,-0.14657350829463,"Doñana_2020_Villamanrique Sur_6",2,8,4
"96",96,"Doñana",2020,"Villamanrique Sur",6,"Scolymus hispanicus",0.125,0.333333333333333,0.369070246428543,0.129656059242655,"Doñana_2020_Villamanrique Sur_6",1,8,4
"97",97,"Doñana",2020,"Pinar Aznalcazar",2,"Cistus albidus",0.2,0.117647058823529,0,-0.598050360401732,"Doñana_2020_Pinar Aznalcazar_2",1,5,2
"98",98,"Doñana",2020,"Pinar Aznalcazar",2,"Rosmarinus officinalis",1,1.88235294117647,0,1.17074380333998,"Doñana_2020_Pinar Aznalcazar_2",25,5,2
"99",99,"Doñana",2020,"Pinar Aznalcazar",3,"Cistus albidus",0.5,0.0988202000114729,0.273040974184224,0.801001152450407,"Doñana_2020_Pinar Aznalcazar_3",21,8,6
"100",100,"Doñana",2020,"Pinar Aznalcazar",3,"Cistus salvifolius",0.125,0.0737327188940092,0.14104693352182,-0.939888474277235,"Doñana_2020_Pinar Aznalcazar_3",5,8,6
"101",101,"Doñana",2020,"Pinar Aznalcazar",3,"Convolvulus arvensis",0.125,0.0365591397849462,0.557870541084993,-1.15775857690785,"Doñana_2020_Pinar Aznalcazar_3",1,8,6
"102",102,"Doñana",2020,"Pinar Aznalcazar",3,"Galactite tomentosa",0.125,0.0829401380195795,0.716196277383176,-1.32629067207,"Doñana_2020_Pinar Aznalcazar_3",2,8,6
"103",103,"Doñana",2020,"Pinar Aznalcazar",3,"Leontodon hispidus",0.75,0.0510127531882971,0.567811391993583,0.582622233113878,"Doñana_2020_Pinar Aznalcazar_3",7,8,6
"104",104,"Doñana",2020,"Pinar Aznalcazar",3,"Oxalis pes-caprae",0.125,0.0459888765294772,0.557870541084993,-1.25479283659514,"Doñana_2020_Pinar Aznalcazar_3",1,8,6
"105",105,"Doñana",2020,"Pinar Aznalcazar",4,"Cistus crispus",0.181818181818182,0.666666666666667,0.386852807234542,-1.07213070357332,"Doñana_2020_Pinar Aznalcazar_4",2,11,4
"106",106,"Doñana",2020,"Pinar Aznalcazar",4,"Convolvulus arvensis",0.181818181818182,0,1,-1.61462113089836,"Doñana_2020_Pinar Aznalcazar_4",2,11,4
"107",107,"Doñana",2020,"Pinar Aznalcazar",4,"Galactite tomentosa",0.272727272727273,1.33333333333333,0.673657673906779,-0.852977980009349,"Doñana_2020_Pinar Aznalcazar_4",5,11,4
"108",108,"Doñana",2020,"Pinar Aznalcazar",4,"Leontodon hispidus",0.454545454545455,0,1,-1.23858003966306,"Doñana_2020_Pinar Aznalcazar_4",6,11,4
"109",109,"Doñana",2020,"Pinar Aznalcazar",5,"Calendula arvensis",0.2,0,1,-0.531232714033228,"Doñana_2020_Pinar Aznalcazar_5",1,5,5
"110",110,"Doñana",2020,"Pinar Aznalcazar",5,"Cistus albidus",0.2,0,1,-0.574011815557158,"Doñana_2020_Pinar Aznalcazar_5",1,5,5
"111",111,"Doñana",2020,"Pinar Aznalcazar",5,"Cistus crispus",0.2,0,1,-0.565850076120802,"Doñana_2020_Pinar Aznalcazar_5",1,5,5
"112",112,"Doñana",2020,"Pinar Aznalcazar",5,"Galactite tomentosa",0.2,1,0,0.815902388532551,"Doñana_2020_Pinar Aznalcazar_5",2,5,5
"113",113,"Doñana",2020,"Pinar Aznalcazar",5,"Leontodon hispidus",0.4,1,0,0.285453405579542,"Doñana_2020_Pinar Aznalcazar_5",3,5,5
"114",114,"Doñana",2020,"Pinar Aznalcazar",6,"Cistus crispus",0.5,0,1,-0.609271795844943,"Doñana_2020_Pinar Aznalcazar_6",1,NA,NA
"115",115,"Doñana",2020,"Pinar Aznalcazar",6,"Leontodon hispidus",0.5,1,0,-0.609271795844942,"Doñana_2020_Pinar Aznalcazar_6",1,NA,NA
"116",116,"Doñana",2020,"Pinar Aznalcazar",6,"Malva hispanica",0.5,1,0,-0.453015409583959,"Doñana_2020_Pinar Aznalcazar_6",1,NA,NA
"117",117,"Doñana",2021,"Pinar Aznalcazar",1,"Cistus salviifolius",1,0.0348837209302326,0.767183622828938,2.04667369555642,"Doñana_2021_Pinar Aznalcazar_1",11,7,3
"118",118,"Doñana",2021,"Pinar Aznalcazar",1,"Lavandula stoechas",0.142857142857143,0.453488372093023,0.089280468239342,-1.67314662573392,"Doñana_2021_Pinar Aznalcazar_1",13,7,3
"119",119,"Doñana",2021,"Pinar Aznalcazar",1,"Rosmarinus officinalis",0.142857142857143,1.01162790697674,0.306450844634576,-1.65639881757675,"Doñana_2021_Pinar Aznalcazar_1",29,7,3
"120",120,"Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"121",121,"Doñana",2021,"Pinar Aznalcazar",2,"Lavandula stoechas",0.1,0.982758620689655,0.472392317575995,-1.92141013953432,"Doñana_2021_Pinar Aznalcazar_2",19,10,3
"122",122,"Doñana",2021,"Pinar Aznalcazar",2,"Rosmarinus officinalis",0.1,0.46551724137931,0.168228024673961,-2.21391087587389,"Doñana_2021_Pinar Aznalcazar_2",9,10,3
