"Site","Year","Bosque","Periodo","Species","Degree","Specialization","Closeness","nestedcontribution"
"Doñana","2021","Pinar Puebla","7","Galactites tomentosus",0.166666666666667,0,1,-1.05222752473962
"Doñana","2021","Pinar Puebla","7","Silene colorata",0.333333333333333,0,1,-0.865359794786126
"Doñana","2021","Pinar Puebla","7","Tolpis barbata",0.333333333333333,0.571428571428571,0.0763481391990798,0.256734694607531
"Doñana","2021","Pinar Puebla","8","Andryala arenaria",1,1.33333333333333,0,0.624806130125061
"Doñana","2021","Pinar Puebla","8","Leontodon longirostris",0.5,0.666666666666667,0,1.04652156837771
"Doñana","2021","Villamanrique Chaparral","1","Asphodelus ramosus",0.5,0.0112994350282486,0.596007425894759,0.771810169206095
"Doñana","2021","Villamanrique Chaparral","1","Cistus salviifolius",0.375,0.00677966101694915,0.94866914196492,-0.0644981857050643
"Doñana","2021","Villamanrique Chaparral","1","Lavandula stoechas",0.125,0.0225988700564972,0,0.867286541149462
"Doñana","2021","Villamanrique Chaparral","1","Rosmarinus officinalis",0.375,0.0329983500824959,0.475661647378941,0.334796565125938
"Doñana","2021","Villamanrique Chaparral","2","Cistus salviifolius",0.666666666666667,0.102304147465438,0.318524938508137,1.2374413032645
"Doñana","2021","Villamanrique Chaparral","2","Lavandula stoechas",0.222222222222222,0.244897959183673,0.0532399920460146,0.426385981856182
