"","X","Site_id","Year","Bosque","Periodo","Planta","norm_degree","weight_closeness","d","match","tot.visits.pl","pl.mean.fs","se.pl.fs","pl.mean.sn","se.pl.sn"
"80",80,"Doñana",2021,"Pinar Aznalcazar",8,"Echium plantagineum",0.0666666666666667,NA,0.410043723977943,"Doñana_2021_Pinar Aznalcazar_8_Echium plantagineum",1,NA,NA,NA,NA
"81",81,"Doñana",2021,"Pinar Puebla",6,"Galactites tomentosus",0.444444444444444,1.02923976608187,0,"Doñana_2021_Pinar Puebla_6_Galactites tomentosus",8,NA,NA,NA,NA
"82",82,"Doñana",2021,"Pinar Puebla",6,"Andryala integrifolia",0.444444444444444,0.355555555555556,1,"Doñana_2021_Pinar Puebla_6_Andryala integrifolia",5,NA,NA,NA,NA
"83",83,"Doñana",2021,"Pinar Puebla",6,"Andryala arenaria",0.444444444444444,0,0.647389321559071,"Doñana_2021_Pinar Puebla_6_Andryala arenaria",12,NA,NA,NA,NA
"84",84,"Doñana",2021,"Pinar Puebla",6,"Tolpis barbata",0.111111111111111,0.111111111111111,0.410043723977943,"Doñana_2021_Pinar Puebla_6_Tolpis barbata",1,NA,NA,NA,NA
"85",85,"Doñana",2021,"Pinar Puebla",7,"Galactites tomentosus",0.5,1.42857142857143,0,"Doñana_2021_Pinar Puebla_7_Galactites tomentosus",2,NA,NA,NA,NA
"86",86,"Doñana",2021,"Pinar Puebla",7,"Andryala arenaria",0.166666666666667,0,1,"Doñana_2021_Pinar Puebla_7_Andryala arenaria",11,NA,NA,NA,NA
"87",87,"Doñana",2021,"Pinar Puebla",7,"Silene colorata",0.333333333333333,0,0.647389321559071,"Doñana_2021_Pinar Puebla_7_Silene colorata",2,NA,NA,NA,NA
"88",88,"Doñana",2021,"Pinar Puebla",7,"Tolpis barbata",0.333333333333333,0.571428571428571,0.410043723977943,"Doñana_2021_Pinar Puebla_7_Tolpis barbata",4,NA,NA,NA,NA
"89",89,"Gorbea",2020,"5",2,"Taraxacum sp.",0.285714285714286,0,0,"Gorbea_2020_5_2_Taraxacum sp.",1,NA,NA,NA,NA
"90",90,"Gorbea",2020,"5",2,"Potentilla erecta",0.428571428571429,0.0192307692307692,1,"Gorbea_2020_5_2_Potentilla erecta",3,NA,NA,NA,NA
"91",91,"Gorbea",2020,"5",2,"Scilla verna",0.285714285714286,1.98076923076923,0.647389321559071,"Gorbea_2020_5_2_Scilla verna",104,NA,NA,NA,NA
"92",92,"Gorbea",2020,"5",2,"Pedicularis sylvatica subsp. sylvatica",0.142857142857143,0,0.410043723977943,"Gorbea_2020_5_2_Pedicularis sylvatica subsp. sylvatica",2,NA,NA,NA,NA
"93",93,"Gorbea",2020,"5",4,"Scorzonera humilis",0.0833333333333333,0,0,"Gorbea_2020_5_4_Scorzonera humilis",6,NA,NA,NA,NA
"94",94,"Gorbea",2020,"5",4,"Ranunculus sp.",0.583333333333333,1,1,"Gorbea_2020_5_4_Ranunculus sp.",1,NA,NA,NA,NA
"95",95,"Gorbea",2020,"5",4,"Potentilla erecta",0.0833333333333333,0,0.647389321559071,"Gorbea_2020_5_4_Potentilla erecta",25,NA,NA,NA,NA
"96",96,"Gorbea",2020,"5",4,"Daboecia cantabrica",0.416666666666667,1,0.410043723977943,"Gorbea_2020_5_4_Daboecia cantabrica",1,NA,NA,NA,NA
"97",97,"Gorbea",2020,"2",8,"Trifolium repens",0.444444444444444,0.0588780236747298,0,"Gorbea_2020_2_8_Trifolium repens",11,NA,NA,NA,NA
"98",98,"Gorbea",2020,"2",8,"Plantago sp.",0.222222222222222,0.0266236385639371,1,"Gorbea_2020_2_8_Plantago sp.",2,NA,NA,NA,NA
"99",99,"Gorbea",2020,"2",8,"Prunella grandiflora",0.111111111111111,0.0353407415906864,0.647389321559071,"Gorbea_2020_2_8_Prunella grandiflora",1,NA,NA,NA,NA
"100",100,"Gorbea",2020,"2",8,"Prunella vulgaris",0.333333333333333,0.0266236385639371,0.410043723977943,"Gorbea_2020_2_8_Prunella vulgaris",3,NA,NA,NA,NA
"101",101,"Gorbea",2020,"2",8,"Bellis perennis",0.222222222222222,0.038630377524144,0,"Gorbea_2020_2_8_Bellis perennis",15,NA,NA,NA,NA
"102",102,"Gorbea",2020,"2",8,"Ranunculus sp.",0.111111111111111,0.041044776119403,1,"Gorbea_2020_2_8_Ranunculus sp.",2,NA,NA,NA,NA
"103",103,"Gorbea",2020,"2",8,"Taraxacum sp.",0.111111111111111,0.0329747254165077,0.647389321559071,"Gorbea_2020_2_8_Taraxacum sp.",2,NA,NA,NA,NA
"104",104,"Gorbea",2020,"2",8,"Thymus praecox subsp. polytrichus",0.333333333333333,0.0997682705005856,0.410043723977943,"Gorbea_2020_2_8_Thymus praecox subsp. polytrichus",1,NA,NA,NA,NA
"105",105,"Gorbea",2020,"3",8,"Erica vagans",0.214285714285714,0.0354609929078014,0,"Gorbea_2020_3_8_Erica vagans",2,NA,NA,NA,NA
"106",106,"Gorbea",2020,"3",8,"Achillea millefolium",0.0714285714285714,0.0350877192982456,1,"Gorbea_2020_3_8_Achillea millefolium",3,NA,NA,NA,NA
"107",107,"Gorbea",2020,"3",8,"Trifolium repens",0.142857142857143,0.0374531835205993,0.647389321559071,"Gorbea_2020_3_8_Trifolium repens",2,NA,NA,NA,NA
"108",108,"Gorbea",2020,"3",8,"Prunella grandiflora",0.0714285714285714,0.0256410256410256,0.410043723977943,"Gorbea_2020_3_8_Prunella grandiflora",6,NA,NA,NA,NA
"109",109,"Gorbea",2020,"3",8,"Thymus praecox subsp. polytrichus",0.142857142857143,0.0350877192982456,0,"Gorbea_2020_3_8_Thymus praecox subsp. polytrichus",6,NA,NA,NA,NA
"110",110,"Gorbea",2020,"3",8,"Trifolium pratense",0.0714285714285714,0,1,"Gorbea_2020_3_8_Trifolium pratense",9,NA,NA,NA,NA
